text,sentiment
dearest kitty ive probably bored long description house still think know ive ended ended something youll figure next letters first let continue story know wasnt finished arrived prinsengracht miep quickly led us long hallway wooden staircase next floor annex shut door behind us leaving us alone margot arrived much earlier bike waiting us living room rooms full stuff cant find words describe cardboard boxes sent office last months piled floors beds small room filled floor cethng linens wanted sleep properly made beds night get going straighten mess mother margot unable move muscle lay bare mattresses tired miserable dont know else father two cleaneruppers family started right away day long unpacked boxes filled cupboards hammered nails straightened mess fell exhausted clean beds night hadnt eaten hot meal day didnt care mother margot tired keyed eat father busy tuesday morning started left night bep miep went grocery shopping ration coupons father worked blackout screens scrubbed kitchen floor busy sunup sundown wednesday,negative
dearest kitty father mother margot still cant get used chiming westertoren clock tells us time every quarter hour liked start sounds reassuring especially night doubt want hear think hiding well say dont really know yet dont think ill ever feel home house doesnt mean hate like vacation strange pension kind odd way look life hiding thats things annex ideal place hide may damp lopsided theres probably comfortable hiding place amsterdam holland bedroom blank walls bare thanks father brought entire postcard moviestar collection beforehand brush pot glue able plaster walls pictures looks much cheerful van daans arrive well able build cupboards odds ends wood piled attic margot mother recovered somewhat yesterday mother felt well enough cook splitpea soup first time downstairstalking forgot beans scorched black amount scraping could get pan last night four us went private office listened england radio scared someone might hear literally begged father take back upstairs mother understood anxiety went whatever afraid neighbors might hear see us started immediately first day sewing curtains actually hardly call since theyre nothing scraps fabric varying greatly shape quality pattern father stitched crookedly together unskilled fingers works art tacked windows theyll stay come hiding building right branch keg company firm zaandam left furniture workshop though people work premises hours sound make might travel walls weve forbidden margot cough night even though bad cold giving large doses codeine im looking forward arrival van daans set tuesday much fun also quiet see silence makes nervous evenings nights id give anything one helpers sleep really bad since cooking listen radio daddys office mr kleiman miep bep voskuijl helped us much weve already canned loads rhubarb strawberries cherries time doubt well bored also supply reading material going buy lots games course cant ever look window go outside quiet people downstairs cant hear us yesterday hands full pit two crates cherries mr kugler going use empty crates make bookshelves someones calling anne comment added anne september beina able ao outside upsets say,positive
theyve nice last month birthday yet every day feel drifting away mother margot worked hard today praised start picking five minutes later easily see difference way deal margot way deal example margot broke vacuum cleaner weve without light rest day mother said well margot easy see youre used working otherwise youd known better yank plug cord margot made reply end story afternoon wanted rewrite something mothers shopping list handwriting hard read wouldnt let bawled whole family wound getting involved dont fit ive felt clearly last weeks theyre sentimental together id rather sentimental theyre always saying nice four us get along well without giving moments thought fact dont feel way daddys one understands though usually sides mother margot another thing cant stand talk front outsiders telling cried sensibly im behaving horrible sometimes talk moortje cant take moortje weak spot miss every minute day one knows often think whenever eyes fill tears moortje sweet love much keep dreaming shell come back us plenty dreams reality well stay war cant ever go outside visitors miep husband jan bep voskuijl mr voskuijl mr kugler mr kleiman mrs kleiman,positive
dear kitty ive deserted entire month little happened cant find newsworthy item relate every single day van daans arrived july thought coming fourteenth thirteenth sixteenth germans sending callup notices right left causing lot unrest decided would safer leave day early day late peter van daan arrived ninethirty morning still breakfast peters going sixteen shy awkward boy whose company wont amount much mr mrs van daan came half hour later much amusement mrs van daan carrying hatbox large chamber pot inside dont feel home without chamber pot exclaimed first item find permanent place divan instead chamber pot mr van lugging collapsible tea table arm first ate meals together three days felt seven us become one big family naturally van daans much tell week wed away civilization especially interested happened apartment mr goldschmidt mr van daan filled us monday morning nine mr goldschmidt phoned asked could come went straightaway found distraught mr goldschmidt showed note frank family left behind instructed planning bring cat neighbors agreed good idea afraid house going searched wnt rooms straightening clearing breakfast things table suddenly saw notepad mrs franks desk address maastricht written even though knew mrs frank left purpose pretended surprised horrified begged mr goldschmidt burn incriminating piece paper swore knew nothing disappearance note given idea mr goldschmidt said bet know address refers six months ago highranking officer came office seems mr frank grew together promised help mr frank ever necessary recall stationed maastricht think officer kept word somehow planning help cross belgium switzerland theres harm telling friends franks come asking course dont need mention part maastricht left story friends told heard later several people thought extremely funny laughed even harder mr van daan told us certain people vivid imaginations example,positive
dear kitty secret annex truly become secret many houses searched hidden bicycles mr kugler thought would better bookcase built front entrance hiding place swings hinges opens like door mr voskuijl carpentry work mr voskuijl told seven us hiding hes helpful whenever want go downstairs duck jump first three days walking around bumps foreheads banging heads low doorway peter cushioned nailing towel stuffed wood shavings doorframe lets see helps im much schoolwork ive given vacation september father wants start tutoring buy books first theres little change lives peters hair washed today thats nothing special mr van daan always loggerheads mama always treats like baby cant stand rest things going better dont think peters gotten nicer hes obnoxious boy lies around bed day rousing little carpentry work returning nap dope mama gave another one dreadful sermons morning take opposite view everything daddys sweetheart may get mad never lasts longer five minutes beautiful day outside nice hot spite everything make weather lounging folding bed attic,positive
dearest kitty mr mrs van daan terrible fight ive never seen anything like since mother father wouldnt dream shouting like argument based something trivial didnt seem worth wasting single word oh well course difficult peter gets caught middle one takes peter seriously anymore since hes hypersensitive lazy yesterday beside worry tongue blue instead pink rare phenomenon disappeared quickly came today hes walking around heavy scarf hes got stiff neck highness complaining lumbago aches pains heart kidneys lungs also par course hes absolute hypochondriac thats right word isnt mother mrs van daan arent getting along well enough reasons friction give one small example mrs van removed three sheets communal linen closet shes assuming mothers used families shell nasty surprise discovers mother followed lead furthermore mrs van ticked using china instead shes still trying find weve done plates theyre lot closer thinks since theyre packed cardboard boxes attic behind load opekta advertising material long hiding plates remain reach since im always accidents well yesterday broke one mrs van ds soup bowls oh angrily exclaimed cant careful last one please bear mind kitty two ladies speak abominable dutch dont dare comment gentlemen theyd highly insulted hear bungled attempts youd laugh head weve given pointing errors since correcting doesnt help anyway whenever quote mother mrs van daan ill write proper dutch instead trying duplicate speech last week brief interruption monotonous routine provided peter book women explain margot peter allowed read nearly books mr kleiman lends us adults preferred keep special book immediately piqued peters curiosity forbidden fruit contain snuck mother downstairs talking took booty loft two days well mrs van daan knew kept mum mr van daan found threw fit took book away assumed would end business however hed neglected take sons curiosity account peter least fazed fathers swift action began thinking ways read rest vastly interesting book meantime mrs van asked mother opinion mother didnt think particular book suitable margot saw harm letting read books see mrs van daan mother said theres big difference margot peter begin margots girl girls always mature boys second shes already read many serious books doesnt go looking longer forbidden third margots much sensible intellectually advanced result four years excellent school mrs van daan agreed felt wrong matter principle let youngsters read books written adults meanwhile peter thought suitable time one would interested either book seventhirty evening entire family listening radio private office took treasure stole loft back eightthirty engrossed book forgot time coming stairs father entered room scene followed surprising slap whack tugofwar book lay table peter loft matters stood time family eat peter stayed upstairs one gave moments thought hed go bed without dinner continued eating chatting merrily away suddenly heard piercing whistle lay forks stared shock clearly visible pale faces heard peters voice chimney come mr van daan leapt napkin falling floor shouted blood rushing face ive enough father afraid might happen grabbed arm two men went attic much struggling kicking peter wound room door shut went eating mrs van daan wanted save piece bread darling son mr van adamant doesnt apologize minute hell sleep loft protested going without dinner enough punishment peter catch cold wouldnt able call doctor peter didnt apologize returned loft mr van daan decided leave well enough alone though note next morning peters bed slept seven peter went attic,negative
dearest kitty today ill tell general news annex lamp mounted divan bed future hear guns going ill able pull cord switch light cant use moment keeping window open little day night male members van daan contingent built handy woodstained food safe real screens glorious cupboard located peters room interests fresh air moved attic stood theres shelf advised peter put table underneath shelf add nice rug hang cupboard table stands might make little cubbyhole comfy though certainly wouldnt like sleep mrs van daan unbearable im continually scolded incessant chatter im upstairs simply let words bounce right madame new trick sleeve trying get washing pots pans theres bit food left bottom pan leaves spoil instead transferring glass dish afternoon margot stuck cleaning pots pans madame exclaims oh poor margot much work every week mr kleiman brings couple books written girls age im enthusiastic loop ter heul series ive enjoyed cissy van marxveldts books much ive read zaniest summer four times ludicrous situations still make laugh father currently working family tree tells something person go along ive begun schoolwork im working hard french cramming five irregular verbs head every day ive forgotten much much learned school peter taken english great reluctance schoolbooks arrived brought large supply notebooks pencils erasers labels home pim thats pet name father wants help dutch lessons im perfectly willing tutor exchange assistance french subjects makes unbelievable mistakes sometimes listen dutch broadcasts london prince bernhard recently announced princess juliana expecting baby january think wonderful one understands take interest royal family nights ago topic discussion decided ignoramus result threw schoolwork next day since little desire still freshman im fourteen fifteen fact im hardly allowed read anything also discussed moment mothers reading gentlemen wives servants course im allowed read though margot first intellectually developed like genius sister discussed ignorance philosophy psychology physiology immediately looked big words dictionary true dont know anything subjects maybe ill smarter next year ive come shocking conclusion one longsleeved dress three cardigans wear winter fathers given permission knit white wool sweater yarn isnt pretty itll warm thats counts clothing left friends unfortunately wont able get war provided still course id finished writing something mrs van daan walked room thump slammed book shut hey anne cant even take peek mrs van daan last page even last page mrs van daan course nearly died,positive
dearest kitty father friend man midseventies named mr dreher whos sick poor deaf post side like useless appendage wife twentyseven years younger equally poor whose arms legs loaded real fake bracelets rings left prosperous days mr dreher already great nuisance father ive always admired saintly patience handled pathetic old man phone still living home mother used advise put gramophone front receiver one would repeat every three minutes yes mr dreher mr dreher since old man never understood word fathers lengthy replies anyway today mr dreher phoned office asked mr kugler come see mr kugler wasnt mood said would send miep miep canceled appointment mrs dreher called office three times since miep reportedly entire afternoon imitate beps voice downstairs office well upstairs annex great hilarity time phone rings bep says thats mrs dreher miep laugh people end line greeted impolite giggle cant picture got greatest office whole wide world bosses office girls fun together evenings go van daans little chat eat mothball cookies molasses cookies stored closet mothproofed good time recently conversation peter said often pats cheek dont like asked typically grownup way whether could ever learn love peter like brother since loves like sister oh said thinking oh ugh imagine added peters bit stiff perhaps hes shy boys arent used around girls like must say annex committee mens section creative listen scheme theyve come get message mr broks opekta co sales representative friend whos surreptitiously hidden things us theyre going type letter store owner southern zealand indirectly one opekta customers ask fill form send back enclosed selfaddressed envelope father write address envelope letter returned zealand form removed handwritten message confirming father alive inserted envelope way mr broks read letter without suspecting ruse chose province zealand close belgium letter easily smuggled across border one allowed travel without special permit ordinary salesman like mr broks would never granted permit yesterday father put another act groggy sleep stumbled bed feet cold lent bed socks five minutes later flung floor pulled blankets head light bothered lamp switched gingerly poked head covers amusing started talking fact peter says margot buttinsky suddenly daddys voice heard depths sits butt mean mouschi cat,positive
dearest kitty mother socalled discussion today annoying part burst tears cant help daddy always nice also understands much better moments like cant stand mother obvious im stranger doesnt even know think ordinary things talking maids fact youre supposed refer domestic help days claimed war thats theyll want called didnt quite see way added talk later often act lady even though im dont think building sand castles air terrible thing long dont take seriously rate daddy usually comes defense without wouldnt able stick dont get along margot well either even though family never kind outbursts upstairs find far pleasant margots mothers personalities alien understand girlfriends better mother isnt shame umpteenth time mrs van daan sulking shes moody removing belongings locking bad mother doesnt repay every van daan disappearing act frank disappearing act people like van daans seem take special delight raising children helping others raise margot doesnt need since shes naturally good kind clever perfection seem enough mischief two us air filled van daans admonitions saucy replies father mother always defend fiercely without wouldnt able jump back fray usual composure keep telling talk less mind business modest seem doomed failure father werent patient id long ago given hope ever meeting parents quite moderate expectations take small helping vegetable loathe eat potatoes instead van daans especially mrs van daan cant get spoiled come anne eat vegetables says thank maam reply potatoes enough vegetables good mother says insists father intervenes upholds right refuse dish dont like mrs van really flies handle house children brought way dont call proper upbringing anne terribly spoiled id never allow anne daughter always tirades begin end anne daughter thank goodness im get back subject raising children yesterday silence fell mrs van finished little speech father replied think anne well brought least shes learned respond interminable sermons far vegetables concerned say look whos calling kettle black mrs van soundly defeated pot calling ketde black refers course madame since cant tolerate beans kind cabbage evening give gas could say dope dont think case,positive
dearest kitty stop yesterday though nowhere near finished im dying tell another one clashes id like say think odd grownups quarrel easily often petty matters always thought bickering something children outgrew often course theres sometimes reason real quarrel verbal exchanges take place plain bickering used fact squabbles daily occurrences im never long im subject nearly every discussion refer discussions instead quarrels germans dont know difference criticize everything mean everything behavior personality manners every inch head toe back subject gossip debate harsh words shouts constantly flung head though im absolutely used according powers im supposed grin bear cant intention taking insults lying ill show anne frank wasnt born yesterday theyll sit take notice keep big mouths shut make see ought attend manners instead mine dare act way simply barbaric ive astonished time rudeness stupidity mrs van daan soon ive gotten used idea shouldnt take long ill give taste medicine theyll change tune really badmannered headstrong stubborn pushy stupid lazy etc etc van daans say course know faults shortcomings blow proportion knew kitty seethe scold mock wont take long explode pentup rage enough ive bored long enough quarrels yet cant resist adding highly interesting dinner conversation somehow landed subject pims extreme diffidence modesty wellknown fact even stupidest person wouldnt dream questioning sudden mrs van daan feels need bring every conversation remarked im modest retiring much husband ever heard anything ridiculous sentence clearly illustrates shes exactly youd call modest mr van daan felt obliged explain much husband answered calmly desire modest retiring experience get lot pushy turning added dont modest retiring anne get nowhere mother agreed completely viewpoint usual mrs van daan add two cents time however instead addressing directly turned parents said must strange outlook life able say anne things different growing though probably havent changed much since except modern household direct hit mothers modern childrearing methods shes defended many occasions mrs van daan upset face turned bright red people flush easily become even agitated feel getting hot collar quickly lose opponents nonflushed mother wanted matter done quickly possible paused moment think replied well mrs van daan agree much better person isnt overmodest husband margot peter exceptionally modest husband anne though exactly opposite dont let pushed around mrs van daan oh mrs frank dont understand mean honestly im extremely modest retiring say im pushy mother didnt say pushy one would describe retiring disposition mrs van id like know way im pushy didnt look one else would id soon starve doesnt mean im modest retiring husband mother choice laugh ridiculous selfdefense irritated mrs van daan exactly born debater continued magnificent account mixture german dutch got tangled words finally rose chair leave room eye fell seen luck would moment mrs van turned around shaking head combination compassion irony wasnt purpose id followed tirade intently reaction completely involuntary mrs van wheeled around gave tonguelashing hard germanic mean vulgar exactly like fat redfaced fishwife joy behold could draw,negative
